Tone Category,Reviewer Identity,Confounder,Group 1,Group 2,Group 1 Mean,Group 1 SE,Group 1 Size,Group 2 Mean,Group 2 SE,Group 2 Size,U-statistic,P-value,Significance,Effect Size (RBC),Effect Size CI Lower,Effect Size CI Upper,Higher Group
Appreciation,Disclosed,gender,Male,Female,3.2053950612839928,0.08355208739771937,10520,3.698047861045911,0.13146073218365134,5848,29860306.0,0.00012755533641610763,***,-0.029263977675250796,,,Female
Constructiveness,Disclosed,gender,Male,Female,2.8649783074895394,0.06086957829103275,10520,2.8331298734817345,0.08143356487414583,5848,30869377.0,0.6541468436575816,,0.0035401593213109095,,,Male
Clarifications,Disclosed,gender,Male,Female,3.315011688152516,0.05907657588856223,10520,3.307963497136128,0.07838872850597417,5848,30767678.0,0.9776082447794053,,0.0002340015500408299,,,Male
Critique,Disclosed,gender,Male,Female,1.5893067767307905,0.040725807820372086,10520,1.63345153715073,0.05997821372797472,5848,30792692.0,0.8827439720955772,,0.0010471878202160667,,,Female
Appreciation,Disclosed,race,White,NonWhite,3.5859664772468274,0.11528315773524167,6474,3.2475634690123436,0.09079786678828726,9894,33985784.0,3.068778527075747e-16,***,0.06116443819469386,,,White
Constructiveness,Disclosed,race,White,NonWhite,2.6955029785218145,0.07281455420352448,6474,2.957047605817759,0.06505962383307778,9894,32016156.0,0.9655196039232133,,-0.0003347813046279402,,,NonWhite
Clarifications,Disclosed,race,White,NonWhite,3.1709037528822304,0.07167431350329058,6474,3.405140751410652,0.06237512977389716,9894,32059687.5,0.9002164582296943,,0.0010244364124407657,,,NonWhite
Critique,Disclosed,race,White,NonWhite,1.502051131745479,0.0493900041327984,6474,1.6724937187735152,0.045676573333844804,9894,32165344.0,0.5343684174351065,,0.0043234310881004046,,,NonWhite
Appreciation,Disclosed,region,Western,Eastern,3.4508914112682945,0.09629452611628436,9224,3.2938780289322227,0.10628712255241218,7137,35285326.0,1.8191565713789413e-22,***,0.07198606239596961,,,Western
Constructiveness,Disclosed,region,Western,Eastern,2.6823297397071517,0.060830181241580135,9224,3.076262071684438,0.07942688213924462,7137,33069748.5,0.5403748088042676,,0.004675696603738899,,,Eastern
Clarifications,Disclosed,region,Western,Eastern,3.198019161604464,0.05930139321217134,9224,3.461756399271634,0.07634411676581414,7137,33573470.0,0.013142935440527094,*,0.019979010715933665,,,Eastern
Critique,Disclosed,region,Western,Eastern,1.484520541486284,0.041109920894011207,9224,1.7618025079792066,0.05647776100444119,7137,33094971.5,0.42773219292171205,,0.005441984109537001,,,Eastern
Appreciation,Disclosed,uni_rank,Top100,Other,3.324754330939901,0.13938149800378724,4069,3.4001556682258425,0.08303091012713129,12299,25845665.0,0.00010222980426254572,***,0.03290460868819278,,,Other
